,Country,Population,Median_Age,GDP_Rate,Birth_Rate,Death_Rate,Education_Rate,Public_Debt,Health_Expend,Fertility_Rate,Health_Expend x Public_Debt
0,China,1384688986.0,37.7,6.9,12.1,8.0,0.0,47.0,5.5,1.6,8.8
1,India,1296834042.0,28.1,6.7,18.7,7.3,3.8,71.2,4.7,2.4,11.28
2,United States,329256465.0,38.2,2.2,12.4,8.2,5.0,78.8,17.1,1.87,31.977000000000004
3,Indonesia,262787403.0,30.5,5.1,15.9,6.5,3.6,28.8,2.8,2.08,5.824
4,Brazil,208846892.0,32.4,1.0,13.9,6.7,6.2,84.0,8.3,1.75,14.525000000000002
5,Pakistan,207862518.0,24.1,5.4,21.6,6.3,2.8,67.0,2.6,2.55,6.63
6,Nigeria,203452505.0,18.3,0.8,35.2,9.6,0.0,21.8,3.7,4.85,17.945
7,Bangladesh,159453001.0,27.1,7.4,18.6,5.4,1.5,33.1,2.8,2.15,6.02
8,Russia,142122776.0,39.8,1.5,10.7,13.4,3.8,15.5,7.1,1.61,11.431000000000001
9,Japan,126168156.0,47.7,1.7,7.5,9.9,3.5,237.6,10.2,1.42,14.483999999999998
10,Mexico,125959205.0,28.6,2.0,18.1,5.4,5.2,54.3,6.3,2.22,13.986
11,Ethiopia,108386391.0,18.0,10.9,36.0,7.5,4.7,54.2,4.9,4.91,24.059
12,Philippines,105893381.0,23.7,6.7,23.4,6.1,2.7,39.9,4.7,2.99,14.053
13,Egypt,99413317.0,23.9,4.2,28.8,4.5,0.0,103.0,5.6,3.41,19.096
14,Vietnam,97040334.0,30.9,6.8,15.2,5.9,5.7,58.5,7.1,1.79,12.709
15,"Congo, Democratic Republic of the",85281024.0,18.8,3.4,32.8,9.4,1.5,18.1,4.3,4.54,19.522
16,Iran,83024745.0,30.8,3.7,17.4,5.3,3.8,39.5,6.9,1.96,13.524000000000001
17,Turkey,81257239.0,31.4,7.4,15.4,6.0,4.3,28.3,5.4,2.0,10.8
18,Germany,80457737.0,47.4,2.5,8.6,11.8,4.8,63.9,11.3,1.46,16.498
19,Thailand,68615858.0,38.1,3.9,0.0,0.0,0.0,0.0,6.5,1.52,9.88
20,France,67364357.0,41.5,2.3,12.1,9.4,5.5,96.8,11.5,2.06,23.69
21,United Kingdom,65105246.0,40.5,1.7,12.0,9.4,5.5,87.5,9.1,1.88,17.107999999999997
22,Italy,62246674.0,45.8,1.5,8.5,10.5,4.1,131.8,9.2,1.45,13.339999999999998
23,Burma,55622506.0,28.5,6.8,17.7,7.3,0.8,33.6,2.3,2.13,4.898999999999999
24,Tanzania,55451343.0,17.9,6.0,35.3,7.5,3.5,37.0,5.6,4.71,26.375999999999998
25,South Africa,55380210.0,27.4,1.3,19.9,9.3,6.1,53.0,8.8,2.26,19.887999999999998
26,"Korea, South",51418097.0,42.3,3.1,8.3,6.3,5.3,39.5,7.4,1.27,9.398000000000001
27,Spain,49331076.0,43.1,3.0,9.0,9.2,4.3,98.4,9.0,1.5,13.5
28,Kenya,48397527.0,20.0,4.9,22.6,6.7,5.2,54.2,5.7,2.81,16.017
29,Colombia,48168996.0,30.4,1.8,15.8,5.5,4.4,49.4,7.2,1.98,14.256
30,Argentina,44694198.0,31.9,2.9,16.5,7.5,5.6,57.6,4.8,2.25,10.799999999999999
31,Ukraine,43952299.0,40.8,2.5,10.1,14.3,5.0,71.0,7.1,1.55,11.004999999999999
32,Sudan,43120843.0,17.9,1.4,34.2,6.7,2.2,121.6,8.4,4.85,40.74
33,Algeria,41657488.0,28.3,1.4,21.5,4.3,0.0,27.5,7.2,2.66,19.152
34,Uganda,40853749.0,15.9,4.8,42.4,9.9,2.6,40.0,7.2,5.62,40.464
35,Iraq,40194216.0,20.2,-2.1,30.0,3.8,0.0,59.7,5.5,3.94,21.669999999999998
36,Poland,38420687.0,41.1,4.7,0.0,0.0,0.0,0.0,6.4,1.36,8.704
37,Canada,35881659.0,42.4,3.0,10.2,8.8,5.3,89.7,10.4,1.6,16.64
38,Afghanistan,34940837.0,19.0,2.7,37.5,13.2,3.9,7.0,8.2,5.02,41.163999999999994
39,Morocco,34314130.0,29.7,4.1,17.5,4.9,5.3,65.1,5.9,2.09,12.331
40,Saudi Arabia,33091113.0,29.9,-0.9,15.6,3.3,0.0,17.2,4.7,2.04,9.588000000000001
41,Malaysia,31809660.0,28.7,5.9,18.8,5.2,4.7,54.1,4.2,2.48,10.416
42,Venezuela,31689176.0,28.7,-14.0,18.5,5.3,6.9,38.9,5.3,2.3,12.19
43,Peru,31331228.0,28.4,2.5,17.6,6.1,3.9,25.4,5.5,2.1,11.55
44,Angola,30355880.0,15.9,-2.5,43.7,9.0,3.5,65.0,3.3,6.09,20.096999999999998
45,Uzbekistan,30023709.0,29.1,5.3,16.6,5.4,6.4,24.3,5.8,1.75,10.15
46,Nepal,29717587.0,24.5,7.9,19.1,5.6,5.1,26.4,5.8,2.07,12.005999999999998
47,Yemen,28667230.0,19.8,-5.9,27.6,5.9,0.0,74.5,5.6,3.48,19.488
48,Ghana,28102471.0,21.2,8.4,30.2,6.8,4.5,71.8,3.6,3.96,14.256
49,Mozambique,27233789.0,17.3,3.7,37.8,11.4,6.5,102.1,7.0,5.02,35.14
50,Cote d'Ivoire,26260582.0,19.9,7.8,30.1,8.4,4.4,47.0,5.7,3.83,21.831
51,Madagascar,25683610.0,19.9,4.2,31.0,6.4,2.8,36.0,3.0,3.95,11.850000000000001
52,Cameroon,25640965.0,18.6,3.5,35.0,9.4,3.1,36.9,4.1,4.58,18.778
53,"Korea, North",25381085.0,34.2,-1.1,14.6,9.3,0.0,0.0,0.0,1.94,0.0
54,Taiwan,23545963.0,41.3,2.9,8.2,7.6,0.0,35.7,0.0,1.13,0.0
55,Australia,23470145.0,38.8,2.2,12.0,7.3,5.3,40.8,9.4,1.77,16.638
56,Sri Lanka,22576592.0,33.1,3.3,14.8,6.3,2.8,79.1,3.5,2.05,7.174999999999999
57,Romania,21457116.0,41.6,6.9,8.7,12.0,3.1,36.8,5.6,1.36,7.616
58,Niger,19866231.0,15.5,4.9,43.6,11.5,3.5,45.3,5.8,6.35,36.83
59,Malawi,19842560.0,16.6,4.0,40.7,7.7,4.0,59.2,11.4,5.43,61.902
60,Burkina Faso,19742715.0,17.4,6.4,36.9,8.7,4.2,38.1,5.0,4.77,23.849999999999998
61,Syria,19454263.0,24.5,-36.5,20.7,4.0,5.1,94.8,3.3,2.44,8.052
62,Kazakhstan,18744548.0,30.9,4.0,17.5,8.2,2.9,20.8,4.4,2.22,9.768000000000002
63,Mali,18429893.0,15.8,5.4,43.2,9.6,3.1,35.4,6.9,5.9,40.71000000000001
64,Chile,17925262.0,34.8,1.5,13.4,6.3,5.4,23.6,7.8,1.79,13.962
65,Netherlands,17151228.0,42.7,2.9,10.9,9.0,5.4,56.5,10.9,1.78,19.402
66,Guatemala,16581273.0,22.5,2.8,24.6,5.0,2.8,24.7,6.2,2.87,17.794
67,Ecuador,16498502.0,28.1,2.4,17.6,5.1,5.0,45.4,9.2,2.15,19.779999999999998
68,Cambodia,16449519.0,25.7,6.9,22.5,7.4,1.9,30.4,5.7,2.47,14.079000000000002
69,Zambia,16445079.0,16.8,3.4,41.1,12.0,0.0,63.1,5.0,5.58,27.9
70,Chad,15833116.0,15.8,-3.1,0.0,0.0,0.0,0.0,3.6,5.9,21.240000000000002
71,Senegal,15020945.0,19.0,7.2,32.9,7.9,6.2,48.3,4.7,4.2,19.740000000000002
72,Zimbabwe,14030368.0,20.2,3.7,34.0,9.9,7.5,82.3,6.4,3.97,25.408
73,Rwanda,12187400.0,19.2,6.1,29.8,6.3,3.2,40.5,7.5,3.75,28.125
74,Guinea,11855411.0,19.0,8.2,36.4,8.9,2.2,37.9,5.6,4.98,27.888
75,Burundi,11844520.0,17.1,0.0,40.9,8.6,4.3,51.7,7.5,5.93,44.474999999999994
76,Belgium,11570762.0,41.5,1.7,11.3,9.7,6.6,103.4,10.6,1.78,18.868
